,medium,IPS_type,chir,chir_hour,rest_hour,percentage_of_cTNT+_cells
S1,B27,ips-18,4,24,48,0.01
S2,B27,ips-18,4,30,42,0.05
S3,B27,ips-18,4,36,36,0.2
S4,B27,ips-18,4,24,48,0.15
S5,B27,ips-18,4,30,42,0.5
S6,B27,ips-18,4,36,36,0.7
S7,B27,ips-18,4,24,48,0.15
S8,B27,ips-18,4,30,42,0.6
S9,B27,ips-18,4,36,36,0.7
S10,B27,ips-18,4,24,48,0
S11,B27,ips-18,4,30,42,0
S12,B27,ips-18,4,36,36,0.3
S13,B27,ips-18,4,54,18,0.95
S14,B27,ips-18,4,48,24,0.8
S15,B27,ips-18,4,42,30,0
S16,B27,ips-18,4,54,18,0.85
S17,B27,ips-18,4,48,24,0.2
S18,B27,ips-18,4,42,30,0.35
S19,B27,ips-18,4,54,18,0.1
S20,B27,ips-18,4,48,24,0.2
S21,B27,ips-18,4,42,30,0.8
S22,B27,ips-18,4,54,18,0.3
S23,B27,ips-18,4,48,24,0.3
S24,B27,ips-18,4,42,30,0.5
S25,B27,ips-18,6,24,48,0.2
S26,B27,ips-18,6,30,42,0.6
S27,B27,ips-18,6,36,36,0.8
S28,B27,ips-18,6,24,48,0.8
S29,B27,ips-18,6,30,42,0.9
S30,B27,ips-18,6,36,36,0.85
S31,B27,ips-18,6,24,48,0.8
S32,B27,ips-18,6,30,42,0.8
S33,B27,ips-18,6,36,36,0.8
S34,B27,ips-18,6,24,48,0
S35,B27,ips-18,6,30,42,0.8
S36,B27,ips-18,6,36,36,0.9
S37,B27,ips-18,6,54,18,0.9
S38,B27,ips-18,6,48,24,0.9
S39,B27,ips-18,6,42,30,0.9
S40,B27,ips-18,6,54,18,0.9
S41,B27,ips-18,6,48,24,0.9
S42,B27,ips-18,6,42,30,0.9
S43,B27,ips-18,6,54,18,0.9
S44,B27,ips-18,6,48,24,0.9
S45,B27,ips-18,6,42,30,0.9
S46,B27,ips-18,6,54,18,0.6
S47,B27,ips-18,6,48,24,0.6
S48,B27,ips-18,6,42,30,0.02
S49,B27,ips-18,8,24,48,0.01
S50,B27,ips-18,8,30,42,0.05
S51,B27,ips-18,8,36,36,0.2
S52,B27,ips-18,8,24,48,0.9
S53,B27,ips-18,8,30,42,0.06
S54,B27,ips-18,8,36,36,0.05
S55,B27,ips-18,8,24,48,0.3
S56,B27,ips-18,8,30,42,0.1
S57,B27,ips-18,8,36,36,0.15
S58,B27,ips-18,8,24,48,0.4
S59,B27,ips-18,8,30,42,0.3
S60,B27,ips-18,8,36,36,0.02
S61,B27,ips-18,8,54,18,0
S62,B27,ips-18,8,48,24,0
S63,B27,ips-18,8,42,30,0.1
S64,B27,ips-18,8,54,18,0.08
S65,B27,ips-18,8,48,24,0
S66,B27,ips-18,8,42,30,0.05
S67,B27,ips-18,8,54,18,0
S68,B27,ips-18,8,48,24,0
S69,B27,ips-18,8,42,30,0.05
S70,B27,ips-18,8,54,18,0.08
S71,B27,ips-18,8,48,24,0.03
S72,B27,ips-18,8,42,30,0.02
S73,B27,ips-18,10,24,48,0.01
S74,B27,ips-18,10,30,42,0
S75,B27,ips-18,10,36,36,0.02
S76,B27,ips-18,10,24,48,0.1
S77,B27,ips-18,10,30,42,0.05
S78,B27,ips-18,10,36,36,0.05
S79,B27,ips-18,10,24,48,0.08
S80,B27,ips-18,10,30,42,0.02
S81,B27,ips-18,10,36,36,0.05
S82,B27,ips-18,10,24,48,0.08
S83,B27,ips-18,10,30,42,0
S84,B27,ips-18,10,36,36,0
S85,B27,ips-18,10,54,18,0.1
S86,B27,ips-18,10,48,24,0.02
S87,B27,ips-18,10,42,30,0
S88,B27,ips-18,10,54,18,0.01
S89,B27,ips-18,10,48,24,0
S90,B27,ips-18,10,42,30,0
S91,B27,ips-18,10,54,18,0
S92,B27,ips-18,10,48,24,0
S93,B27,ips-18,10,42,30,0
S94,B27,ips-18,10,54,18,0
S95,B27,ips-18,10,48,24,0
S96,B27,ips-18,10,42,30,0
